ISO.code,Year,imp_sum,loans_sum,avg_nim,corp_avg,households_avg,policy_avg,Country,GDP_per_capita,DFR,MLF,MRO,Inflation
FR,2007,629.339858,6110328405.03864,7.75063583529412,5.09083333333333,7.58,3.83904109589041,France,27972.65,2.839041096,4.839041096,3.839041096,1.6
FR,2008,606.87138,6519038755.2396,5.14366707058823,5.4075,7.98,3.90027322404372,France,28302.63,3.005464481,4.775956284,3.900273224,3.2
FR,2009,719.197226,7000434477.55078,4.56639062941176,2.89166666666667,7.25416666666667,1.27876712328767,France,27609.48,0.465753425,2.091780822,1.278767123,0.1
FR,2010,749.187422,6829556270.2478,3.91058297058824,2.555,6.775,1,France,28538.31,0.25,1.75,1,1.7
FR,2011,801.63724,6690509056.03816,7.35732028235294,3.1875,7.0241666666666696,1.24931506849315,France,29332.78,0.499315068,1.999315068,1.249315068,2.3
FR,2012,820.854845,6629221929.57552,6.65515107058823,2.87666666666667,6.88916666666667,0.881147540983607,France,29220.74,0.131147541,1.631147541,0.881147541,2.2
FR,2013,763.286407,6812681385.87264,-7.36158069411765,2.65666666666667,6.725,0.553424657534246,France,29974.67,0,1.140410959,0.553424658,1
FR,2014,779.788001,6182905452.86181,-4969.33120461177,2.48666666666667,6.53916666666667,0.163150684931507,France,30302.74,-0.086849315,0.523424658,0.163150685,0.6
FR,2015,768.357061,5765208581.28224,12.1791399294118,1.97166666666667,6.05166666666667,0.05,France,30923.63,-0.20630137,0.3,0.05,0.1
FR,2016,743.501778,5910592771.66205,-44932.2079394824,1.70333333333333,5.80666666666667,0.0102459016393442,France,31285.17,-0.379508197,0.260245902,0.010245902,0.3
FR,2017,710.799398,7081075707.93022,-25033.1138066529,1.5775,5.6175,0,France,32025.75,-0.4,0.25,0,1.2
FR,2018,669.939516,6807262595.81326,-6101.2888691647,1.47833333333333,5.62166666666667,0,France,33012.94,-0.4,0.25,0,2.1
FR,2019,639.982713,7060975321.38456,-39084.1277717588,1.40166666666667,5.62833333333333,0,France,34947.35,-0.42876712300000003,0.25,0,1.3
FR,2020,594.054107,8308202124.37128,-9871.01314298823,1.37,5.27666666666667,0,France,33320.77,-0.5,0.25,0,0.5
FR,2021,589.474474,8137551633.09022,-7331.59466741765,1.33916666666667,5.21666666666667,0,France,35193.64,-0.5,0.25,0,2.1
FR,2022,589.39426,8075439370.60251,-11815.3404750765,1.98833333333333,5.77583333333333,0.578767123287669,France,36895.61,0.078767123,0.828767123,0.578767123,5.9
FR,2023,589.5767,8509044368.96731,-80279.1827276529,4.66416666666667,7.56916666666667,3.80753424657534,France,39549.87,3.307534247,4.057534247,3.807534247,5.7
HR,2005,25.159789,18665234.5034503,3.9553945,3.35916666666667,6.99166666666667,2.01780821917808,NA,NA,1.017808219,3.017808219,2.017808219,3
HR,2006,15.025372,25711287.1267067,3.56196816666667,4.07083333333333,6.96666666666667,2.76027397260274,NA,NA,1.760273973,3.760273973,2.760273973,3.3
HR,2007,13.354211,33836404.6680214,3.45427333333333,5.09083333333333,7.58,3.83904109589041,NA,NA,2.839041096,4.839041096,3.839041096,2.7
HR,2008,15.626624,37790227.0666729,3.60056816666667,5.4075,7.98,3.90027322404372,NA,NA,3.005464481,4.775956284,3.900273224,5.8
HR,2009,31.760703,39633072.6756146,3.48553383333333,2.89166666666667,7.25416666666667,1.27876712328767,NA,NA,0.465753425,2.091780822,1.278767123,2.2
HR,2010,40.409946,38878278.2869096,3.68064983333333,2.555,6.775,1,NA,NA,0.25,1.75,1,1.1
HR,2011,45.194295,40569649.4425807,3.95072416666667,3.1875,7.0241666666666696,1.24931506849315,NA,NA,0.499315068,1.999315068,1.249315068,2.2
HR,2012,50.66783,41266262.706775,3.76425,2.87666666666667,6.88916666666667,0.881147540983607,NA,NA,0.131147541,1.631147541,0.881147541,3.4
HR,2013,55.715212,43772658.0445072,3.63960566666667,2.65666666666667,6.725,0.553424657534246,NA,NA,0,1.140410959,0.553424658,2.3
HR,2014,61.935191,38970305.7262625,3.62008,2.48666666666667,6.53916666666667,0.163150684931507,NA,NA,-0.086849315,0.523424658,0.163150685,0.2
HR,2015,62.484482,35227688.08063,3.7468525,1.97166666666667,6.05166666666667,0.05,NA,NA,-0.20630137,0.3,0.05,-0.3
HR,2016,48.73835,35161411.9910063,3.6550155,1.70333333333333,5.80666666666667,0.0102459016393442,NA,NA,-0.379508197,0.260245902,0.010245902,-0.6
HR,2017,42.931627,39126683.4597784,3.73244083333333,1.5775,5.6175,0,NA,NA,-0.4,0.25,0,1.3
HR,2018,38.243529,41248202.154011,3.05655516666667,1.47833333333333,5.62166666666667,0,NA,NA,-0.4,0.25,0,1.6
HR,2019,27.601306,41646473.8017984,3.17282583333333,1.40166666666667,5.62833333333333,0,NA,NA,-0.42876712300000003,0.25,0,0.8
HR,2020,29.987513,47581025.3815437,2.88954833333333,1.37,5.27666666666667,0,NA,NA,-0.5,0.25,0,0
HR,2021,26.832533,45198258.9702211,2.68915866666667,1.33916666666667,5.21666666666667,0,NA,NA,-0.5,0.25,0,2.7
HR,2022,17.370583,47388113.9867515,2.53987,1.98833333333333,5.77583333333333,0.578767123287669,NA,NA,0.078767123,0.828767123,0.578767123,10.7
HR,2023,14.998342,53824268.07067,3.86230183333333,4.66416666666667,7.56916666666667,3.80753424657534,NA,NA,3.307534247,4.057534247,3.807534247,8.4
IE,2005,3.638446,394054372.597206,1.35245755555556,3.35916666666667,6.99166666666667,2.01780821917808,Ireland,34434.12,1.017808219,3.017808219,2.017808219,2.2
IE,2006,2.856803,562229894.298949,1.40103333333333,4.07083333333333,6.96666666666667,2.76027397260274,Ireland,36502.1,1.760273973,3.760273973,2.760273973,2.7
IE,2007,2.749977,733487161.254903,1.50403011111111,5.09083333333333,7.58,3.83904109589041,Ireland,38258.24,2.839041096,4.839041096,3.839041096,2.9
IE,2008,12.970687,654861355.218673,1.75550577777778,5.4075,7.98,3.90027322404372,Ireland,35470.9,3.005464481,4.775956284,3.900273224,3.1
IE,2009,33.092588,622274234.695095,1.48215422222222,2.89166666666667,7.25416666666667,1.27876712328767,Ireland,32864.34,0.465753425,2.091780822,1.278767123,-1.7
IE,2010,40.790179,549324569.0646,1.31899444444444,2.555,6.775,1,Ireland,34199.88,0.25,1.75,1,-1.6
IE,2011,68.958892,498741117.544528,1.17256077777778,3.1875,7.0241666666666696,1.24931506849315,Ireland,35457.06,0.499315068,1.999315068,1.249315068,1.2
